Timestamp,Source IP,Destination IP,Protocol,Length
2025-05-01 13:00:18.545587,10.194.224.177,20.42.73.28,TLS,583
2025-05-01 13:00:18.574218,20.42.73.28,10.194.224.177,TLS,165
2025-05-01 13:00:18.575766,10.194.224.177,20.42.73.28,TLS,503
2025-05-01 13:00:18.604793,20.42.73.28,10.194.224.177,TLS,1514
2025-05-01 13:00:18.604806,20.42.73.28,10.194.224.177,TLS,257
2025-05-01 13:00:18.607704,10.194.224.177,20.42.73.28,TLS,1494
2025-05-01 13:00:18.607725,10.194.224.177,20.42.73.28,TLS,629
2025-05-01 13:00:18.635827,20.42.73.28,10.194.224.177,TLS,169
2025-05-01 13:00:18.638326,20.42.73.28,10.194.224.177,TLS,530
2025-05-01 13:00:18.638793,10.194.224.177,20.42.73.28,TLS,90
2025-05-01 13:00:18.864194,10.194.224.177,35.186.224.30,TLS,98
2025-05-01 13:00:18.951001,35.186.224.30,10.194.224.177,TLS,94
2025-05-01 13:00:19.314896,10.194.224.177,20.189.173.11,TLS,183
2025-05-01 13:00:19.314963,10.194.224.177,20.189.173.11,TLS,105
2025-05-01 13:00:19.314994,10.194.224.177,20.189.173.11,TLS,1494
2025-05-01 13:00:19.315000,10.194.224.177,20.189.173.11,TLS,813
2025-05-01 13:00:19.442825,20.189.173.11,10.194.224.177,TLS,105
2025-05-01 13:00:19.504497,20.189.173.11,10.194.224.177,TLS,164
2025-05-01 13:00:19.505058,10.194.224.177,20.189.173.11,TLS,101
2025-05-01 13:00:19.549767,10.194.224.177,172.66.0.227,TLS,400
2025-05-01 13:00:19.549782,10.194.224.177,172.66.0.227,TLS,105
2025-05-01 13:00:19.570092,172.66.0.227,10.194.224.177,TLS,105
2025-05-01 13:00:19.633327,172.66.0.227,10.194.224.177,TLS,357
2025-05-01 13:00:19.633330,172.66.0.227,10.194.224.177,TLS,177
2025-05-01 13:00:19.633331,172.66.0.227,10.194.224.177,TLS,97
2025-05-01 13:00:19.634916,10.194.224.177,172.66.0.227,TLS,101
2025-05-01 13:00:20.835812,162.159.133.234,10.194.224.177,TLS,116
2025-05-01 13:00:22.619438,208.103.161.1,10.194.224.177,TLS,91
2025-05-01 13:00:22.621047,10.194.224.177,208.103.161.1,TLS,95
2025-05-01 13:00:22.671311,10.194.224.177,172.66.0.227,TLS,265
2025-05-01 13:00:22.734944,172.66.0.227,10.194.224.177,TLS,469
2025-05-01 13:00:22.734946,172.66.0.227,10.194.224.177,TLS,177
2025-05-01 13:00:22.734948,172.66.0.227,10.194.224.177,TLS,97
2025-05-01 13:00:23.296861,162.159.133.234,10.194.224.177,TLS,126
2025-05-01 13:00:23.296864,162.159.133.234,10.194.224.177,TLS,109
2025-05-01 13:00:23.312699,162.159.133.234,10.194.224.177,TLS,154
2025-05-01 13:00:23.312702,162.159.133.234,10.194.224.177,TLS,132
2025-05-01 13:00:23.323692,162.159.133.234,10.194.224.177,TLS,109
2025-05-01 13:00:23.323696,162.159.133.234,10.194.224.177,TLS,109
2025-05-01 13:00:24.709880,10.194.224.177,142.250.191.99,QUIC,1292
2025-05-01 13:00:24.709884,10.194.224.177,142.250.191.99,QUIC,1292
2025-05-01 13:00:24.740466,142.250.191.99,10.194.224.177,QUIC,1292
2025-05-01 13:00:25.808262,17.253.27.216,10.194.224.177,TLS,90
2025-05-01 13:00:25.810018,10.194.224.177,17.253.27.216,TLS,90
2025-05-01 13:00:27.388520,208.103.161.1,10.194.224.177,TLS,120
2025-05-01 13:00:27.390695,10.194.224.177,208.103.161.1,TLS,124
2025-05-01 13:00:28.787900,140.82.112.25,10.194.224.177,TLS,92
2025-05-01 13:00:28.788482,10.194.224.177,140.82.112.25,TLS,96
2025-05-01 13:00:29.018903,10.194.224.177,162.159.133.234,TLS,120
2025-05-01 13:00:29.059099,162.159.133.234,10.194.224.177,TLS,106
2025-05-01 13:00:30.929213,10.194.224.177,35.186.224.30,TLS,109
2025-05-01 13:00:30.963650,35.186.224.30,10.194.224.177,TLS,106
2025-05-01 13:00:32.758586,162.159.133.234,10.194.224.177,TLS,113
2025-05-01 13:00:33.058604,17.57.144.247,10.194.224.177,TLS,380
2025-05-01 13:00:33.067336,10.194.224.177,17.57.144.247,TLS,98
