Timestamp,Source IP,Destination IP,Protocol,Length
2025-05-01 17:55:25.580202,192.168.0.48,35.186.224.30,TLS,109
2025-05-01 17:55:25.615038,35.186.224.30,192.168.0.48,TLS,106
2025-05-01 17:55:25.638681,18.160.200.75,192.168.0.48,TLS,105
2025-05-01 17:55:25.698962,192.168.0.48,150.171.22.12,TLS,1494
2025-05-01 17:55:25.698979,192.168.0.48,150.171.22.12,TLS,760
2025-05-01 17:55:25.699024,192.168.0.48,150.171.22.12,TLS,1494
2025-05-01 17:55:25.699028,192.168.0.48,150.171.22.12,TLS,750
2025-05-01 17:55:25.699051,192.168.0.48,162.159.140.229,TLS,260
2025-05-01 17:55:25.762629,162.159.140.229,192.168.0.48,TLS,257
2025-05-01 17:55:25.762631,162.159.140.229,192.168.0.48,TLS,177
2025-05-01 17:55:25.763187,162.159.140.229,192.168.0.48,TLS,97
2025-05-01 17:55:25.763913,192.168.0.48,162.159.140.229,TLS,101
2025-05-01 17:55:25.787438,150.171.22.12,192.168.0.48,TLS,610
2025-05-01 17:55:25.787441,150.171.22.12,192.168.0.48,TLS,85
2025-05-01 17:55:25.818162,150.171.22.12,192.168.0.48,TLS,666
2025-05-01 17:55:25.818165,150.171.22.12,192.168.0.48,TLS,85
2025-05-01 17:55:26.381590,192.168.0.48,20.44.10.123,TLS,583
2025-05-01 17:55:26.403913,20.44.10.123,192.168.0.48,TLS,165
2025-05-01 17:55:26.406184,192.168.0.48,20.44.10.123,TLS,503
2025-05-01 17:55:26.436808,20.44.10.123,192.168.0.48,TLS,1514
2025-05-01 17:55:26.437839,20.44.10.123,192.168.0.48,TLS,253
2025-05-01 17:55:26.441684,192.168.0.48,20.44.10.123,TLS,1494
2025-05-01 17:55:26.441702,192.168.0.48,20.44.10.123,TLS,629
2025-05-01 17:55:26.463065,20.44.10.123,192.168.0.48,TLS,169
2025-05-01 17:55:26.720599,20.44.10.123,192.168.0.48,TLS,530
2025-05-01 17:55:26.721048,192.168.0.48,20.44.10.123,TLS,90
2025-05-01 17:55:27.697134,192.168.0.48,108.61.86.43,TLS,1514
2025-05-01 17:55:27.697141,192.168.0.48,108.61.86.43,TLS,580
2025-05-01 17:55:27.697302,192.168.0.48,96.30.197.189,TLS,1514
2025-05-01 17:55:27.697304,192.168.0.48,96.30.197.189,TLS,516
2025-05-01 17:55:27.697473,192.168.0.48,155.138.156.85,TLS,1514
2025-05-01 17:55:27.697477,192.168.0.48,155.138.156.85,TLS,609
2025-05-01 17:55:27.716210,155.138.156.85,192.168.0.48,TLS,452
