Timestamp,Source IP,Destination IP,Protocol,Length
2025-05-01 13:49:21.690993,10.194.224.177,172.66.0.227,TLS,262
2025-05-01 13:49:21.792783,172.66.0.227,10.194.224.177,TLS,234
2025-05-01 13:49:21.792784,172.66.0.227,10.194.224.177,TLS,174
2025-05-01 13:49:21.793569,10.194.224.177,172.66.0.227,TLS,101
2025-05-01 13:49:21.795064,172.66.0.227,10.194.224.177,TLS,97
2025-05-01 13:49:21.861981,18.160.213.10,10.194.224.177,TLS,105
2025-05-01 13:49:21.992792,18.160.213.10,10.194.224.177,TLS,105
2025-05-01 13:49:22.280147,10.194.224.177,13.89.179.8,TLS,583
2025-05-01 13:49:22.328182,13.89.179.8,10.194.224.177,TLS,165
2025-05-01 13:49:22.328853,10.194.224.177,13.89.179.8,TLS,503
2025-05-01 13:49:22.444457,13.89.179.8,10.194.224.177,TLS,1514
2025-05-01 13:49:22.444463,13.89.179.8,10.194.224.177,TLS,253
2025-05-01 13:49:22.449117,10.194.224.177,13.89.179.8,TLS,1494
2025-05-01 13:49:22.449144,10.194.224.177,13.89.179.8,TLS,629
2025-05-01 13:49:22.471739,13.89.179.8,10.194.224.177,TLS,169
2025-05-01 13:49:22.506006,13.89.179.8,10.194.224.177,TLS,530
2025-05-01 13:49:22.506791,10.194.224.177,13.89.179.8,TLS,90
2025-05-01 13:49:22.560965,18.154.185.57,10.194.224.177,TLS,105
2025-05-01 13:49:23.613026,10.194.224.177,208.80.154.224,TLS,1490
2025-05-01 13:49:23.613032,10.194.224.177,208.80.154.224,TLS,373
2025-05-01 13:49:23.641186,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:23.641188,208.80.154.224,10.194.224.177,TLS,682
2025-05-01 13:49:23.643233,10.194.224.177,208.80.154.224,TLS,130
2025-05-01 13:49:23.643328,10.194.224.177,208.80.154.224,TLS,158
2025-05-01 13:49:23.643421,10.194.224.177,208.80.154.224,TLS,588
2025-05-01 13:49:23.671753,208.80.154.224,10.194.224.177,TLS,337
2025-05-01 13:49:23.671755,208.80.154.224,10.194.224.177,TLS,337
2025-05-01 13:49:23.671756,208.80.154.224,10.194.224.177,TLS,118
2025-05-01 13:49:23.672064,10.194.224.177,208.80.154.224,TLS,97
2025-05-01 13:49:23.673661,208.80.154.224,10.194.224.177,TLS,1080
2025-05-01 13:49:23.676748,10.194.224.177,208.80.154.224,TLS,175
2025-05-01 13:49:23.702560,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:23.709579,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:23.741122,10.194.224.177,208.80.154.224,TLS,434
2025-05-01 13:49:23.742146,10.194.224.177,208.80.154.224,TLS,195
2025-05-01 13:49:23.742172,10.194.224.177,208.80.154.224,TLS,174
2025-05-01 13:49:23.742184,10.194.224.177,208.80.154.224,TLS,185
2025-05-01 13:49:23.742230,10.194.224.177,34.215.43.68,TLS,1514
2025-05-01 13:49:23.742233,10.194.224.177,34.215.43.68,TLS,581
2025-05-01 13:49:23.742242,10.194.224.177,34.215.43.68,TLS,1026
2025-05-01 13:49:23.821315,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:23.821333,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:23.821338,208.80.154.224,10.194.224.177,TLS,1055
2025-05-01 13:49:23.842422,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:23.848464,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:23.854882,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:23.861546,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:23.864990,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:23.865861,208.80.154.224,10.194.224.177,TLS,920
2025-05-01 13:49:23.891276,34.215.43.68,10.194.224.177,TLS,215
2025-05-01 13:49:23.891443,10.194.224.177,208.80.154.224,TLS,539
2025-05-01 13:49:23.916808,208.80.154.224,10.194.224.177,TLS,1115
2025-05-01 13:49:23.956288,10.194.224.177,208.80.154.224,TLS,149
2025-05-01 13:49:23.956527,10.194.224.177,208.80.154.224,TLS,164
2025-05-01 13:49:23.958056,10.194.224.177,208.80.154.224,TLS,203
2025-05-01 13:49:23.958151,10.194.224.177,208.80.154.224,TLS,203
2025-05-01 13:49:23.969120,10.194.224.177,208.80.154.224,TLS,102
2025-05-01 13:49:23.980775,10.194.224.177,208.80.154.224,TLS,321
2025-05-01 13:49:23.980809,10.194.224.177,208.80.154.224,TLS,301
2025-05-01 13:49:23.980822,10.194.224.177,208.80.154.224,TLS,797
2025-05-01 13:49:24.039421,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:24.039423,208.80.154.224,10.194.224.177,TLS,374
2025-05-01 13:49:24.039423,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:24.039425,208.80.154.224,10.194.224.177,TLS,947
2025-05-01 13:49:24.042181,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:24.045336,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:24.052853,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:24.055725,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:24.055728,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:24.060678,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:24.067062,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:24.067612,10.194.224.177,208.80.154.240,TLS,1490
2025-05-01 13:49:24.067617,10.194.224.177,208.80.154.240,TLS,436
2025-05-01 13:49:24.069650,10.194.224.177,208.80.154.240,TLS,1490
2025-05-01 13:49:24.069654,10.194.224.177,208.80.154.240,TLS,468
2025-05-01 13:49:24.069789,10.194.224.177,208.80.154.240,TLS,1490
2025-05-01 13:49:24.069791,10.194.224.177,208.80.154.240,TLS,436
2025-05-01 13:49:24.069904,10.194.224.177,208.80.154.240,TLS,1490
2025-05-01 13:49:24.069906,10.194.224.177,208.80.154.240,TLS,468
2025-05-01 13:49:24.070016,10.194.224.177,208.80.154.240,TLS,1490
2025-05-01 13:49:24.070018,10.194.224.177,208.80.154.240,TLS,436
2025-05-01 13:49:24.070136,10.194.224.177,208.80.154.240,TLS,1490
2025-05-01 13:49:24.070139,10.194.224.177,208.80.154.240,TLS,468
2025-05-01 13:49:24.075736,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:24.076995,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:24.083288,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:24.089062,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:24.091160,208.80.154.224,10.194.224.177,TLS,1514
2025-05-01 13:49:24.093298,208.80.154.240,10.194.224.177,TLS,1514
2025-05-01 13:49:24.093301,208.80.154.240,10.194.224.177,TLS,680
