Timestamp,Source IP,Destination IP,Protocol,Length
2025-05-01 18:06:48.952449,192.168.0.48,150.171.22.12,TLS,1494
2025-05-01 18:06:48.952468,192.168.0.48,150.171.22.12,TLS,760
2025-05-01 18:06:48.952718,192.168.0.48,150.171.22.12,TLS,1494
2025-05-01 18:06:48.952846,192.168.0.48,150.171.22.12,TLS,750
2025-05-01 18:06:48.952925,192.168.0.48,162.159.140.229,TLS,261
2025-05-01 18:06:48.952934,192.168.0.48,162.159.140.229,TLS,105
2025-05-01 18:06:48.960907,162.159.140.229,192.168.0.48,TLS,105
2025-05-01 18:06:49.031984,162.159.140.229,192.168.0.48,TLS,254
2025-05-01 18:06:49.031987,162.159.140.229,192.168.0.48,TLS,208
2025-05-01 18:06:49.032787,192.168.0.48,162.159.140.229,TLS,101
2025-05-01 18:06:49.061776,150.171.22.12,192.168.0.48,TLS,563
2025-05-01 18:06:49.061779,150.171.22.12,192.168.0.48,TLS,85
2025-05-01 18:06:49.081969,150.171.22.12,192.168.0.48,TLS,549
2025-05-01 18:06:49.082289,150.171.22.12,192.168.0.48,TLS,85
2025-05-01 18:06:49.598208,150.171.22.12,192.168.0.48,TLS,93
2025-05-01 18:06:49.600017,192.168.0.48,150.171.22.12,TLS,89
2025-05-01 18:06:49.710281,192.168.0.48,51.105.71.136,TLS,583
2025-05-01 18:06:49.815916,51.105.71.136,192.168.0.48,TLS,165
2025-05-01 18:06:49.819174,192.168.0.48,51.105.71.136,TLS,503
2025-05-01 18:06:49.925115,51.105.71.136,192.168.0.48,TLS,1514
2025-05-01 18:06:49.925419,51.105.71.136,192.168.0.48,TLS,254
2025-05-01 18:06:49.928542,192.168.0.48,51.105.71.136,TLS,1494
2025-05-01 18:06:49.928553,192.168.0.48,51.105.71.136,TLS,629
2025-05-01 18:06:50.034165,51.105.71.136,192.168.0.48,TLS,169
2025-05-01 18:06:50.034465,51.105.71.136,192.168.0.48,TLS,530
2025-05-01 18:06:50.034827,192.168.0.48,51.105.71.136,TLS,90
2025-05-01 18:06:52.187411,208.103.161.2,192.168.0.48,TLS,91
2025-05-01 18:06:52.188392,192.168.0.48,208.103.161.2,TLS,95
2025-05-01 18:06:52.251912,192.168.0.48,150.171.22.12,TLS,1494
2025-05-01 18:06:52.251950,192.168.0.48,150.171.22.12,TLS,381
2025-05-01 18:06:52.251996,192.168.0.48,150.171.22.12,TLS,1494
2025-05-01 18:06:52.252003,192.168.0.48,150.171.22.12,TLS,403
2025-05-01 18:06:52.322250,150.171.22.12,192.168.0.48,TLS,228
2025-05-01 18:06:52.788609,192.168.0.48,142.250.191.228,QUIC,1292
2025-05-01 18:06:52.788624,192.168.0.48,142.250.191.228,QUIC,1292
2025-05-01 18:06:52.824704,142.250.191.228,192.168.0.48,QUIC,1292
2025-05-01 18:06:53.603670,192.168.0.48,104.26.2.150,TLS,138
2025-05-01 18:06:53.659381,104.26.2.150,192.168.0.48,TLS,994
2025-05-01 18:06:53.659386,104.26.2.150,192.168.0.48,TLS,321
2025-05-01 18:06:53.659389,104.26.2.150,192.168.0.48,TLS,97
2025-05-01 18:06:53.661009,192.168.0.48,104.26.2.150,TLS,101
2025-05-01 18:06:53.664575,192.168.0.48,104.26.2.150,TLS,191
2025-05-01 18:06:53.727078,104.26.2.150,192.168.0.48,TLS,529
2025-05-01 18:06:53.727081,104.26.2.150,192.168.0.48,TLS,255
2025-05-01 18:06:53.727421,104.26.2.150,192.168.0.48,TLS,97
2025-05-01 18:06:54.251505,34.215.43.68,192.168.0.48,TLS,97
2025-05-01 18:06:56.463312,192.168.0.48,34.215.43.68,TLS,1514
2025-05-01 18:06:56.463321,192.168.0.48,34.215.43.68,TLS,445
2025-05-01 18:06:56.545944,34.215.43.68,192.168.0.48,TLS,211
2025-05-01 18:06:56.546258,192.168.0.48,34.215.43.68,TLS,117
2025-05-01 18:06:56.546355,192.168.0.48,34.215.43.68,TLS,1514
2025-05-01 18:06:56.546358,192.168.0.48,34.215.43.68,TLS,575
2025-05-01 18:06:56.546366,192.168.0.48,34.215.43.68,TLS,854
2025-05-01 18:06:56.713937,34.215.43.68,192.168.0.48,TLS,215
2025-05-01 18:06:57.638618,192.168.0.48,52.40.67.248,TLS,1514
2025-05-01 18:06:57.638630,192.168.0.48,52.40.67.248,TLS,629
2025-05-01 18:06:57.710739,52.40.67.248,192.168.0.48,TLS,300
2025-05-01 18:06:57.711117,192.168.0.48,52.40.67.248,TLS,130
2025-05-01 18:06:57.711216,192.168.0.48,52.40.67.248,TLS,158
2025-05-01 18:06:57.711318,192.168.0.48,52.40.67.248,TLS,457
2025-05-01 18:06:57.711339,192.168.0.48,52.40.67.248,TLS,902
2025-05-01 18:06:57.797814,52.40.67.248,192.168.0.48,TLS,245
2025-05-01 18:06:57.801813,52.40.67.248,192.168.0.48,TLS,137
2025-05-01 18:06:57.801815,52.40.67.248,192.168.0.48,TLS,329
2025-05-01 18:06:57.801817,52.40.67.248,192.168.0.48,TLS,97
2025-05-01 18:06:57.802302,192.168.0.48,52.40.67.248,TLS,97
2025-05-01 18:06:58.731553,192.168.0.48,35.186.224.30,TLS,109
2025-05-01 18:06:58.783083,35.186.224.30,192.168.0.48,TLS,106
2025-05-01 18:06:59.322699,192.168.0.48,35.186.224.30,TLS,98
2025-05-01 18:06:59.359945,35.186.224.30,192.168.0.48,TLS,94
2025-05-01 18:07:01.518229,208.103.161.2,192.168.0.48,TLS,120
2025-05-01 18:07:01.521261,192.168.0.48,208.103.161.2,TLS,124
2025-05-01 18:07:01.554229,192.168.0.48,104.26.2.150,TLS,141
2025-05-01 18:07:01.707714,104.26.2.150,192.168.0.48,TLS,719
2025-05-01 18:07:01.707721,104.26.2.150,192.168.0.48,TLS,99
2025-05-01 18:07:01.712171,104.26.2.150,192.168.0.48,TLS,253
2025-05-01 18:07:01.712178,104.26.2.150,192.168.0.48,TLS,97
2025-05-01 18:07:01.714853,192.168.0.48,104.26.2.150,TLS,101
2025-05-01 18:07:01.720199,192.168.0.48,104.26.2.150,TLS,197
2025-05-01 18:07:01.782973,104.26.2.150,192.168.0.48,TLS,533
2025-05-01 18:07:01.782978,104.26.2.150,192.168.0.48,TLS,303
2025-05-01 18:07:01.791025,104.26.2.150,192.168.0.48,TLS,97
2025-05-01 18:07:03.652277,192.168.0.48,34.215.43.68,TLS,1514
2025-05-01 18:07:03.652298,192.168.0.48,34.215.43.68,TLS,575
2025-05-01 18:07:03.652315,192.168.0.48,34.215.43.68,TLS,880
2025-05-01 18:07:03.733429,34.215.43.68,192.168.0.48,TLS,215
2025-05-01 18:07:04.168468,17.145.16.2,192.168.0.48,TLS,105
2025-05-01 18:07:04.168475,17.145.16.2,192.168.0.48,TLS,90
2025-05-01 18:07:04.170249,192.168.0.48,17.145.16.2,TLS,105
2025-05-01 18:07:04.173016,192.168.0.48,17.145.16.2,TLS,90
2025-05-01 18:07:04.580514,150.171.22.12,192.168.0.48,TLS,93
2025-05-01 18:07:04.583791,192.168.0.48,150.171.22.12,TLS,89
2025-05-01 18:07:04.585092,192.168.0.48,150.171.22.12,TLS,89
2025-05-01 18:07:04.635856,192.168.0.48,162.159.140.229,TLS,1454
2025-05-01 18:07:04.635898,192.168.0.48,162.159.140.229,TLS,68
2025-05-01 18:07:04.635936,192.168.0.48,162.159.140.229,TLS,105
2025-05-01 18:07:04.667882,162.159.140.229,192.168.0.48,TLS,105
2025-05-01 18:07:04.701724,162.159.140.229,192.168.0.48,TLS,265
2025-05-01 18:07:04.701729,162.159.140.229,192.168.0.48,TLS,177
2025-05-01 18:07:04.701734,162.159.140.229,192.168.0.48,TLS,97
2025-05-01 18:07:04.705596,192.168.0.48,162.159.140.229,TLS,101
2025-05-01 18:07:07.856654,52.40.67.248,192.168.0.48,TLS,105
2025-05-01 18:07:07.856661,52.40.67.248,192.168.0.48,TLS,90
2025-05-01 18:07:08.714138,192.168.0.48,104.26.2.150,TLS,141
2025-05-01 18:07:08.765974,104.26.2.150,192.168.0.48,TLS,1016
2025-05-01 18:07:08.768619,104.26.2.150,192.168.0.48,TLS,302
2025-05-01 18:07:08.768625,104.26.2.150,192.168.0.48,TLS,97
2025-05-01 18:07:08.772698,192.168.0.48,104.26.2.150,TLS,101
2025-05-01 18:07:08.775808,192.168.0.48,104.26.2.150,TLS,201
2025-05-01 18:07:08.841370,104.26.2.150,192.168.0.48,TLS,533
2025-05-01 18:07:08.841373,104.26.2.150,192.168.0.48,TLS,240
2025-05-01 18:07:08.841609,104.26.2.150,192.168.0.48,TLS,97
2025-05-01 18:07:12.122366,192.168.0.48,34.215.43.68,TLS,1514
2025-05-01 18:07:12.122390,192.168.0.48,34.215.43.68,TLS,575
2025-05-01 18:07:12.122408,192.168.0.48,34.215.43.68,TLS,888
2025-05-01 18:07:12.197956,34.215.43.68,192.168.0.48,TLS,215
2025-05-01 18:07:14.812557,192.168.0.48,104.26.2.150,TLS,141
2025-05-01 18:07:14.875393,104.26.2.150,192.168.0.48,TLS,721
2025-05-01 18:07:14.875399,104.26.2.150,192.168.0.48,TLS,99
2025-05-01 18:07:14.875403,104.26.2.150,192.168.0.48,TLS,239
2025-05-01 18:07:14.875407,104.26.2.150,192.168.0.48,TLS,97
2025-05-01 18:07:14.880937,192.168.0.48,104.26.2.150,TLS,101
2025-05-01 18:07:14.888065,192.168.0.48,104.26.2.150,TLS,204
2025-05-01 18:07:14.937735,104.26.2.150,192.168.0.48,TLS,558
2025-05-01 18:07:14.937739,104.26.2.150,192.168.0.48,TLS,242
2025-05-01 18:07:14.937744,104.26.2.150,192.168.0.48,TLS,97
2025-05-01 18:07:15.493697,192.168.0.48,34.215.43.68,TLS,1514
2025-05-01 18:07:15.493714,192.168.0.48,34.215.43.68,TLS,575
2025-05-01 18:07:15.493728,192.168.0.48,34.215.43.68,TLS,876
2025-05-01 18:07:15.566545,34.215.43.68,192.168.0.48,TLS,234
2025-05-01 18:07:17.276787,208.103.161.2,192.168.0.48,TLS,91
2025-05-01 18:07:17.281334,192.168.0.48,208.103.161.2,TLS,95
2025-05-01 18:07:19.834938,150.171.22.12,192.168.0.48,TLS,93
2025-05-01 18:07:19.837313,192.168.0.48,150.171.22.12,TLS,89
2025-05-01 18:07:19.837374,192.168.0.48,150.171.22.12,TLS,89
2025-05-01 18:07:20.332499,192.168.0.48,35.186.224.24,QUIC,1292
2025-05-01 18:07:20.332985,192.168.0.48,35.186.224.24,TLS,150
2025-05-01 18:07:20.333118,192.168.0.48,35.186.224.24,TLS,105
2025-05-01 18:07:20.333138,192.168.0.48,35.186.224.24,TLS,224
